gene	ct	date	initials	cell_line	note
AADC	28.915	2024/11/13	PTTV	UKBI011_A2	
ACTB_v2	19.075	2024/11/08	PTTV	UKBI011_A2	
AIF1.IBA1	27.42	2024/11/14	PTTV	UKBI011_A2	
ALCAM	26.07	2024/11/14	PTTV	UKBI011_A2	
ALK.1	35	2024/11/08	PTTV	UKBI011_A2	
AP.1	26.625	2024/11/08	PTTV	UKBI011_A2	
APCDD1	28.64	2024/11/14	PTTV	UKBI011_A2	
AQP4	28.01	2024/11/08	PTTV	UKBI011_A2	
BARHL1	35	2024/11/13	PTTV	UKBI011_A2	
BARHL2	33.835	2024/11/13	PTTV	UKBI011_A2	
BCL11B.CTIP2	26.85	2024/11/08	PTTV	UKBI011_A2	
BRN2A	35	2024/11/08	PTTV	UKBI011_A2	
CALB1	25.435	2024/11/13	PTTV	UKBI011_A2	
CALB2	27.97	2024/11/13	PTTV	UKBI011_A2	
CCR2	35	2024/11/14	PTTV	UKBI011_A2	
CD44	26.07	2024/11/14	PTTV	UKBI011_A2	
CD45	35	2024/11/14	PTTV	UKBI011_A2	
CD47	24.795	2024/11/14	PTTV	UKBI011_A2	
CD68	29.28	2024/11/14	PTTV	UKBI011_A2	
CD83	27.92	2024/11/14	PTTV	UKBI011_A2	
CDK6	24.395	2024/11/13	PTTV	UKBI011_A2	
CHAT_v8	35	2024/11/13	PTTV	UKBI011_A2	
CHRM1_v1	35	2024/11/13	PTTV	UKBI011_A2	
CHRM4	32.4	2024/11/08	PTTV	UKBI011_A2	
CNTFR	28.365	2024/11/13	PTTV	UKBI011_A2	
CNTN2	35	2024/11/14	PTTV	UKBI011_A2	
COL1A1	23.335	2024/11/14	PTTV	UKBI011_A2	
CORIN	29.945	2024/11/13	PTTV	UKBI011_A2	
CPE	27.56	2024/11/14	PTTV	UKBI011_A2	
CSF1R	35	2024/11/14	PTTV	UKBI011_A2	
CUX1	34.505	2024/11/08	PTTV	UKBI011_A2	
CX3CR1	31.905	2024/11/14	PTTV	UKBI011_A2	
DBX1	32.69	2024/11/13	PTTV	UKBI011_A2	
DCX	25.42	2024/11/13	PTTV	UKBI011_A2	
DLK1	30.79	2024/11/13	PTTV	UKBI011_A2	
DLX1_v2	35	2024/11/13	PTTV	UKBI011_A2	
DLX2	28.325	2024/11/08	PTTV	UKBI011_A2	
DLX5_v2	33.705	2024/11/13	PTTV	UKBI011_A2	
EMX1	31.935	2024/11/08	PTTV	UKBI011_A2	
EN1	35	2024/11/13	PTTV	UKBI011_A2	
EN2	35	2024/11/13	PTTV	UKBI011_A2	
ERBB4	30.805	2024/11/13	PTTV	UKBI011_A2	
ETV5	24.395	2024/11/13	PTTV	UKBI011_A2	
FEZF1	25.015	2024/11/13	PTTV	UKBI011_A2	
FGF8	28.83	2024/11/13	PTTV	UKBI011_A2	
FOLR1	30.005	2024/11/14	PTTV	UKBI011_A2	
FOXA1	33.17	2024/11/13	PTTV	UKBI011_A2	
FOXA2	34.31	2024/11/13	PTTV	UKBI011_A2	
FOXG1	30.31	2024/11/08	PTTV	UKBI011_A2	
FOXG1_v2	35	2024/11/14	PTTV	UKBI011_A2	
FOXP1	24.985	2024/11/08	PTTV	UKBI011_A2	
GABRA2	27.115	2024/11/08	PTTV	UKBI011_A2	
GAD67	29.3	2024/11/08	PTTV	UKBI011_A2	
GAPDH	35	2024/11/08	PTTV	UKBI011_A2	
GBX1	31.89	2024/11/13	PTTV	UKBI011_A2	
GBX2	32.26	2024/11/13	PTTV	UKBI011_A2	
GDF7	35	2024/11/13	PTTV	UKBI011_A2	
GRIN1	35	2024/11/08	PTTV	UKBI011_A2	
GRIN2B	35	2024/11/08	PTTV	UKBI011_A2	
HES5	35	2024/11/08	PTTV	UKBI011_A2	
HOXA1	30.275	2024/11/13	PTTV	UKBI011_A2	
HOXA2	33.3	2024/11/13	PTTV	UKBI011_A2	
HOXA3	35	2024/11/13	PTTV	UKBI011_A2	
HOXB1	35	2024/11/13	PTTV	UKBI011_A2	
IGF1R_v2	30.715	2024/11/08	PTTV	UKBI011_A2	
IRF8	29.96	2024/11/14	PTTV	UKBI011_A2	
IRX3	35	2024/11/13	PTTV	UKBI011_A2	
ISL1	30.52	2024/11/08	PTTV	UKBI011_A2	
ITGAM.CD11b	29.845	2024/11/14	PTTV	UKBI011_A2	
LGI1_v2	33.835	2024/11/14	PTTV	UKBI011_A2	
LHX1	32.015	2024/11/13	PTTV	UKBI011_A2	
LHX2	34.635	2024/11/13	PTTV	UKBI011_A2	
LHX6	34.79	2024/11/08	PTTV	UKBI011_A2	
LHX8	29.705	2024/11/08	PTTV	UKBI011_A2	
LMX1A	35	2024/11/13	PTTV	UKBI011_A2	
LRTM1	28.39	2024/11/14	PTTV	UKBI011_A2	
MAF	35	2024/11/13	PTTV	UKBI011_A2	
MAP2	25.09	2024/11/08	PTTV	UKBI011_A2	
MASH1	31.575	2024/11/08	PTTV	UKBI011_A2	
MEF2C	35	2024/11/13	PTTV	UKBI011_A2	
MEIS1	32.78	2024/11/08	PTTV	UKBI011_A2	
MERTK	25.73	2024/11/14	PTTV	UKBI011_A2	
NCAM1	28.29	2024/11/13	PTTV	UKBI011_A2	
NGN.2	35	2024/11/08	PTTV	UKBI011_A2	
NKX2-1	35	2024/11/08	PTTV	UKBI011_A2	
NKX2-2	33.485	2024/11/14	PTTV	UKBI011_A2	
NKX2-4	31.74	2024/11/14	PTTV	UKBI011_A2	
NKX6-1	32.185	2024/11/14	PTTV	UKBI011_A2	
NOTCH1	32.02	2024/11/08	PTTV	UKBI011_A2	
NPY	30.895	2024/11/08	PTTV	UKBI011_A2	
NR2F2	35	2024/11/13	PTTV	UKBI011_A2	
NURR1	30.09	2024/11/14	PTTV	UKBI011_A2	
NESTIN	31.07	2024/11/08	PTTV	UKBI011_A2	
OLIG2	33.94	2024/11/08	PTTV	UKBI011_A2	
OTP	35	2024/11/08	PTTV	UKBI011_A2	
OTX1	29.75	2024/11/14	PTTV	UKBI011_A2	
OTX2	21.89	2024/11/08	PTTV	UKBI011_A2	
P2RY12	27.98	2024/11/14	PTTV	UKBI011_A2	
P75_v2	26.485	2024/11/13	PTTV	UKBI011_A2	
PAX5	32.915	2024/11/14	PTTV	UKBI011_A2	
PAX6	30.12	2024/11/08	PTTV	UKBI011_A2	
PAX7	33.83	2024/11/14	PTTV	UKBI011_A2	
PAX8	34.64	2024/11/14	PTTV	UKBI011_A2	
PDGFC	28.57	2024/11/14	PTTV	UKBI011_A2	
PITX2	32.205	2024/11/14	PTTV	UKBI011_A2	
PU.1	35	2024/11/14	PTTV	UKBI011_A2	
PVALB_v2	29.72	2024/11/13	PTTV	UKBI011_A2	
RAX	32.32	2024/11/08	PTTV	UKBI011_A2	
RELN	31.785	2024/11/13	PTTV	UKBI011_A2	
SATB2	30.895	2024/11/08	PTTV	UKBI011_A2	
SERPINF1_v2	24.205	2024/11/14	PTTV	UKBI011_A2	
SHH	35	2024/11/14	PTTV	UKBI011_A2	
SIX3	29.525	2024/11/14	PTTV	UKBI011_A2	
SIX6	31.35	2024/11/14	PTTV	UKBI011_A2	
SLC39A8	24.455	2024/11/14	PTTV	UKBI011_A2	
SLC5a7	35	2024/11/08	PTTV	UKBI011_A2	
SLC5a8	34.035	2024/11/08	PTTV	UKBI011_A2	
SNAP25v2	31.165	2024/11/13	PTTV	UKBI011_A2	
SOX1	33.625	2024/11/14	PTTV	UKBI011_A2	
SOX10	30.32	2024/11/14	PTTV	UKBI011_A2	
SOX9	26.14	2024/11/08	PTTV	UKBI011_A2	
SP8	26.375	2024/11/13	PTTV	UKBI011_A2	
SST	32.28	2024/11/08	PTTV	UKBI011_A2	
SYN1	25.235	2024/11/08	PTTV	UKBI011_A2	
SYP	27.045	2024/11/08	PTTV	UKBI011_A2	
TA1	35	2024/11/08	PTTV	UKBI011_A2	
TBR1	35	2024/11/08	PTTV	UKBI011_A2	
TBR2	35	2024/11/08	PTTV	UKBI011_A2	
TBX3	32.02	2024/11/08	PTTV	UKBI011_A2	
TFF3	35	2024/11/14	PTTV	UKBI011_A2	
TH	35	2024/11/14	PTTV	UKBI011_A2	
TMEM119	30.74	2024/11/14	PTTV	UKBI011_A2	
TPBG	24.145	2024/11/14	PTTV	UKBI011_A2	
TREM2	34.545	2024/11/14	PTTV	UKBI011_A2	
TRKA_v2	35	2024/11/13	PTTV	UKBI011_A2	
VAChT	32.36	2024/11/13	PTTV	UKBI011_A2	
VGLUT1	31.905	2024/11/08	PTTV	UKBI011_A2	
VIP_v2	34.645	2024/11/13	PTTV	UKBI011_A2	
VSX2	35	2024/11/13	PTTV	UKBI011_A2	
WNT1	35	2024/11/14	PTTV	UKBI011_A2	
WNT3A	35	2024/11/14	PTTV	UKBI011_A2	
ZEB2	32.69	2024/11/13	PTTV	UKBI011_A2	
c.MYC	35	2024/11/08	PTTV	UKBI011_A2	
