gene	ct	date	initials	cell_line	note
AADC	32.65	2024/11/13	PTTV	UKBi011_A_184_E11	
AADC	31.555	2024/11/13	PTTV	UKBi011_A_184_E11	
ACTB_v2	17.64	2024/11/08	PTTV	UKBi011_A_184_E11	
ACTB_v2	18.235	2024/11/08	PTTV	UKBi011_A_184_E11	
AIF1.IBA1	28.07	2024/11/14	PTTV	UKBi011_A_184_E11	
AIF1.IBA1	27.85	2024/11/14	PTTV	UKBi011_A_184_E11	
ALCAM	24.575	2024/11/14	PTTV	UKBi011_A_184_E11	
ALCAM	26.565	2024/11/14	PTTV	UKBi011_A_184_E11	
ALK.1	33.725	2024/11/08	PTTV	UKBi011_A_184_E11	
ALK.1	35	2024/11/08	PTTV	UKBi011_A_184_E11	
AP.1	29.395	2024/11/08	PTTV	UKBi011_A_184_E11	
AP.1	28.845	2024/11/08	PTTV	UKBi011_A_184_E11	
APCDD1	29.38	2024/11/14	PTTV	UKBi011_A_184_E11	
APCDD1	29.01	2024/11/14	PTTV	UKBi011_A_184_E11	
AQP4	29.285	2024/11/08	PTTV	UKBi011_A_184_E11	
AQP4	35	2024/11/08	PTTV	UKBi011_A_184_E11	
BARHL1	35	2024/11/13	PTTV	UKBi011_A_184_E11	
BARHL1	34.78	2024/11/13	PTTV	UKBi011_A_184_E11	
BARHL2	34.265	2024/11/13	PTTV	UKBi011_A_184_E11	
BARHL2	34.21	2024/11/13	PTTV	UKBi011_A_184_E11	
BCL11B.CTIP2	26.735	2024/11/08	PTTV	UKBi011_A_184_E11	
BCL11B.CTIP2	26.595	2024/11/08	PTTV	UKBi011_A_184_E11	
BRN2A	35	2024/11/08	PTTV	UKBi011_A_184_E11	
CALB1	25.655	2024/11/13	PTTV	UKBi011_A_184_E11	
CALB1	25.145	2024/11/13	PTTV	UKBi011_A_184_E11	
CALB2	28.04	2024/11/13	PTTV	UKBi011_A_184_E11	
CALB2	27.8	2024/11/13	PTTV	UKBi011_A_184_E11	
CCR2	35	2024/11/14	PTTV	UKBi011_A_184_E11	
CD44	25.865	2024/11/14	PTTV	UKBi011_A_184_E11	
CD44	26.625	2024/11/14	PTTV	UKBi011_A_184_E11	
CD45	31.625	2024/11/14	PTTV	UKBi011_A_184_E11	
CD45	33.355	2024/11/14	PTTV	UKBi011_A_184_E11	
CD47	24.775	2024/11/14	PTTV	UKBi011_A_184_E11	
CD47	24.965	2024/11/14	PTTV	UKBi011_A_184_E11	
CD68	28.825	2024/11/14	PTTV	UKBi011_A_184_E11	
CD68	29.97	2024/11/14	PTTV	UKBi011_A_184_E11	
CD83	27.1	2024/11/14	PTTV	UKBi011_A_184_E11	
CD83	28.89	2024/11/14	PTTV	UKBi011_A_184_E11	
CDK6	24.74	2024/11/13	PTTV	UKBi011_A_184_E11	
CDK6	24.39	2024/11/13	PTTV	UKBi011_A_184_E11	
CHAT_v8	35	2024/11/13	PTTV	UKBi011_A_184_E11	
CHAT_v8	33.75	2024/11/13	PTTV	UKBi011_A_184_E11	
CHRM1_v1	35	2024/11/13	PTTV	UKBi011_A_184_E11	
CHRM4	31.93	2024/11/08	PTTV	UKBi011_A_184_E11	
CHRM4	32.625	2024/11/08	PTTV	UKBi011_A_184_E11	
CNTFR	29.51	2024/11/13	PTTV	UKBi011_A_184_E11	
CNTFR	29.225	2024/11/13	PTTV	UKBi011_A_184_E11	
CNTN2	34.48	2024/11/14	PTTV	UKBi011_A_184_E11	
