gene	ct
ACTB	21.825
ACTB_org	21.09607143
ACTB_v2	15.56
ACTB_v2	16.63
ALDH1A2	33.74166667
ARX	31.43
AXIN1	24.135
AXIN2	26.883
BCL11B	29.305
BRA	30.57583333
BRN2	33.049
CCND1	23.66625
CD31	32.67833333
CDH2	23.05833333
CFP	35
CNPY1	33.15125
CORIN	31.73266667
CXCR4	28.89
CYP26A1	25.61
DLK1	28.105
DLX2	27.14590909
DUSP6	21.42625
EGR2	29.89071429
EMX1	27.2775
EN1	34.94727273
EN2	34.8122
EOMES	30.90882353
EPHA3	29.93375
ETV2	30.02944444
ETV4	22.69
ETV5	23.05333333
FEZF1	23.70806452
FGF10	30.78
FGF17	34.13
FGF18	30.5925
FGF8	30.02857143
FGF8_6	29.145
FGFR1	20.765
FOSL1	25.4525
FOXA1	29.24727273
FOXA2	31.88846154
FOXB1	26.295
FOXC1	31.02
FOXD3	28.5925
FOXG1	30.91227273
FOXG1_3	31.195
FOXP1	25.325
FOXP2	31.45722222
FZD7	23.405
GAD67	30.145
GAPDH	16.695
GAPDH_org	17.87489796
GBX2	29.74060606
GDF7	34.0668
GFP	30.955
GJD2	
GSC	32.011
GSX2	33.77153846
HB9	35
HCRT	33.895
HOXA1	32.72931034
HOXA2	32.15295455
HOXA3	33.7168
HOXA4	34.52710526
HOXA5	34.77444444
HOXA6	
HOXB1	35
IRX1	31.8275
IRX3	33.28553571
IRX5	27.96
ISL1	31.855
JAG1	26.065
KDR	23.645
LEF1	29.276
LEPR	26.985
LHX1	31.2
LHX2	28.90604167
LHX6	32.624
LHX8	33.875
LHX9	35
LMX1A	33.97375
LMX1A-WPRE	34.47875
LMX1B	33.97681818
MAFB	29.06571429
MASH1	31.08375
MASH1	30.29
MATH1	30.35
MIXL1	32.11375
MSX1	32.09875
MYC	24.03
NANOG	20.62309524
NCAM1	26.64625
NGN2	34.80846154
NGN3	35
NKX2-1	34.11407407
NKX2-1	35
NKX2-2	35
NKX2-4	33.4025
NKX6-1	31.64230769
NKX6-2	34.9
NR5A1	32.4
OCT4	17.9297619
OLIG2	30.02214286
OTP	33.71
OTP	33.395
OTX1	30.83583333
OTX2	23.47871795
PAX2	29.70934783
PAX3	34.64954545
PAX5	33.0398
PAX6	28.45839286
PAX7	31.94
PAX8	32.4572
PECAM1	34.61
PITX2	31.454
POMC	29.99
RARA	30.50083333
RAX	31.43
RFX4	34.225
SATB2	28.4475
SHH	32.485
SIM1	32.30666667
SIM1	33.325
SIX1	30.6175
SIX3	27.36032258
SIX6	28.50541667
SIX6	28.78
SNAI2	30.487
SOX1	32.05333333
SOX10	29.12764706
SOX11	24.365
SOX14	32.7425
SOX17	35
SOX2	21.28323529
SOX6	32.54
SOX9	25.535
SPRY1	23.75625
SST	32.07
TBR1	34.82288462
TBX3	35
TTR	29.76
WNT1	33.77647059
WNT2B	
WNT3A	34.94805556
WNT8B	34.0225
ZNF503	32.7375
