gene	ct	date	initials	note
AADC	31.51	2020/11/17	PGRR	
AADC	31.28	2020/11/17	PGRR	
AADC	31.175	2020/11/17	PGRR	
ACTB	23.24	2020/11/17	PGRR	
ACTB	21.98	2020/11/17	PGRR	
ACTB	22.165	2020/11/17	PGRR	
ALDH1A2	33.8	2020/11/17	PGRR	
ALDH1A2	33.135	2020/11/17	PGRR	
ALDH1A2	33.61	2020/11/17	PGRR	
ARX	32.335	2020/11/17	PGRR	
ARX	31.975	2020/11/17	PGRR	
ARX	31.365	2020/11/17	PGRR	
AXIN2	27.845	2020/11/17	PGRR	
AXIN2	26.96	2020/11/17	PGRR	
AXIN2	26.665	2020/11/17	PGRR	
BARHL1	35	2020/11/17	PGRR	
BARHL1	35	2020/11/17	PGRR	
BARHL1	35	2020/11/17	PGRR	
BARHL2	35	2020/11/17	PGRR	
BARHL2	35	2020/11/17	PGRR	
BARHL2	35	2020/11/17	PGRR	
BLBP	25.86	2020/11/17	PGRR	
BLBP	25.81	2020/11/17	PGRR	
BLBP	25.695	2020/11/17	PGRR	
BRA	32.525	2020/11/17	PGRR	
BRA	31.955	2020/11/17	PGRR	
BRA	31.01	2020/11/17	PGRR	
BRN2	35	2020/11/17	PGRR	
BRN2	35	2020/11/17	PGRR	
BRN2	33.725	2020/11/17	PGRR	
BRN3A	28.265	2020/11/17	PGRR	
BRN3A	26.605	2020/11/17	PGRR	
BRN3A	27.26	2020/11/17	PGRR	
CCND1	24.025	2020/11/17	PGRR	
CCND1	23.515	2020/11/17	PGRR	
CCND1	23.66	2020/11/17	PGRR	
CHAT	29.33	2020/11/17	PGRR	
CHAT	29.42	2020/11/17	PGRR	
CHAT	29.215	2020/11/17	PGRR	
CNPY1	35	2020/11/17	PGRR	
CNPY1	35	2020/11/17	PGRR	
CNPY1	34.055	2020/11/17	PGRR	
COL3A1	33.555	2020/11/17	PGRR	
COL3A1	33.2	2020/11/17	PGRR	
COL3A1	33.865	2020/11/17	PGRR	
CORIN	33.535	2020/11/17	PGRR	
CORIN	32.68	2020/11/17	PGRR	
CORIN	32.11	2020/11/17	PGRR	
CYP26A1	28.11	2020/11/17	PGRR	
CYP26A1	27.66	2020/11/17	PGRR	
CYP26A1	27.035	2020/11/17	PGRR	
DAT	30.635	2020/11/17	PGRR	
DAT	29.83	2020/11/17	PGRR	
DAT	28.78	2020/11/17	PGRR	
DBX1	32.08	2020/11/17	PGRR	
DBX1	31.635	2020/11/17	PGRR	
DBX1	32.15	2020/11/17	PGRR	
DLK1	30.195	2020/11/17	PGRR	
DLK1	31.395	2020/11/17	PGRR	
DLK1	31.025	2020/11/17	PGRR	
DLX2	29.825	2020/11/17	PGRR	
DLX2	29.43	2020/11/17	PGRR	
DLX2	29.065	2020/11/17	PGRR	
DUSP6	22.395	2020/11/17	PGRR	
DUSP6	21.59	2020/11/17	PGRR	
DUSP6	23.435	2020/11/17	PGRR	
EGR2	30.83	2020/11/17	PGRR	
EGR2	30.04	2020/11/17	PGRR	
EGR2	29.16	2020/11/17	PGRR	
EMX1	29.15	2020/11/17	PGRR	
EMX1	28.485	2020/11/17	PGRR	
EMX1	29.545	2020/11/17	PGRR	
EN1	34.065	2020/11/17	PGRR	
EN1	35	2020/11/17	PGRR	
EN1	35	2020/11/17	PGRR	
EN2	35	2020/11/17	PGRR	
EN2	35	2020/11/17	PGRR	
EN2	35	2020/11/17	PGRR	
EOMES	32.345	2020/11/17	PGRR	
EOMES	32.705	2020/11/17	PGRR	
EOMES	32.66	2020/11/17	PGRR	
EPHA3	31.895	2020/11/17	PGRR	
EPHA3	30.81	2020/11/17	PGRR	
EPHA3	29.755	2020/11/17	PGRR	
ETV2	30.63	2020/11/17	PGRR	
ETV2	29.92	2020/11/17	PGRR	
ETV2	30.3	2020/11/17	PGRR	
ETV4	24.47	2020/11/17	PGRR	
ETV4	22.995	2020/11/17	PGRR	
ETV4	24.19	2020/11/17	PGRR	
ETV5	24.305	2020/11/17	PGRR	
ETV5	23.815	2020/11/17	PGRR	
ETV5	25.805	2020/11/17	PGRR	
FEZF1	25.905	2020/11/17	PGRR	
FEZF1	25.24	2020/11/17	PGRR	
FEZF1	22.84	2020/11/17	PGRR	
FGF8	29.94	2020/11/17	PGRR	
FGF8	29.935	2020/11/17	PGRR	
FGF8	29.83	2020/11/17	PGRR	
FGFR1	21.515	2020/11/17	PGRR	
FGFR1	21.165	2020/11/17	PGRR	
FGFR1	21.04	2020/11/17	PGRR	
FOXA1	31.68	2020/11/17	PGRR	
FOXA1	31.04	2020/11/17	PGRR	
FOXA1	30.995	2020/11/17	PGRR	
FOXA2	29.79	2020/11/17	PGRR	
FOXA2	28.185	2020/11/17	PGRR	
FOXA2	30.28	2020/11/17	PGRR	
FOXC1	32.855	2020/11/17	PGRR	
FOXC1	34.33	2020/11/17	PGRR	
FOXC1	33.2	2020/11/17	PGRR	
FOXD3	30.235	2020/11/17	PGRR	
FOXD3	28.075	2020/11/17	PGRR	
FOXD3	28.665	2020/11/17	PGRR	
FOXG1	30.565	2020/11/17	PGRR	
FOXG1	30.645	2020/11/17	PGRR	
FOXG1	30.58	2020/11/17	PGRR	
FOXP1	26.12	2020/11/17	PGRR	
FOXP1	25.875	2020/11/17	PGRR	
FOXP1	25.705	2020/11/17	PGRR	
FOXP2	32.76	2020/11/17	PGRR	
FOXP2	32.975	2020/11/17	PGRR	
FOXP2	31.83	2020/11/17	PGRR	
FREM1	30.365	2020/11/17	PGRR	
FREM1	30	2020/11/17	PGRR	
FREM1	30.345	2020/11/17	PGRR	
GABRA2	29.975	2020/11/17	PGRR	
GABRA2	29.575	2020/11/17	PGRR	
GABRA2	29.23	2020/11/17	PGRR	
GAD67	32.305	2020/11/17	PGRR	
GAD67	33.59	2020/11/17	PGRR	
GAD67	31.91	2020/11/17	PGRR	
GAPDH	17.795	2020/11/17	PGRR	
GAPDH	17.235	2020/11/17	PGRR	
GAPDH	17.595	2020/11/17	PGRR	
GBX2	32.755	2020/11/17	PGRR	
GBX2	30.54	2020/11/17	PGRR	
GBX2	32.85	2020/11/17	PGRR	
GDF7	35	2020/11/17	PGRR	
GDF7	35	2020/11/17	PGRR	
GDF7	34.695	2020/11/17	PGRR	
GSC	32.625	2020/11/17	PGRR	
GSC	32.43	2020/11/17	PGRR	
GSC	32.56	2020/11/17	PGRR	
GSX2	35	2020/11/17	PGRR	
GSX2	35	2020/11/17	PGRR	
GSX2	35	2020/11/17	PGRR	
HB9	34.25	2020/11/17	PGRR	
HB9	34.055	2020/11/17	PGRR	
HB9	33.51	2020/11/17	PGRR	
HOXA1	34.53	2020/11/17	PGRR	
HOXA1	34.495	2020/11/17	PGRR	
HOXA1	34.795	2020/11/17	PGRR	
HOXA2	35	2020/11/17	PGRR	
HOXA2	34.77	2020/11/17	PGRR	
HOXA2	34.475	2020/11/17	PGRR	
HOXA3	35	2020/11/17	PGRR	
HOXA3	35	2020/11/17	PGRR	
HOXA3	35	2020/11/17	PGRR	
HOXA4	35	2020/11/17	PGRR	
HOXA4	35	2020/11/17	PGRR	
HOXA4	35	2020/11/17	PGRR	
HOXA5	35	2020/11/17	PGRR	
HOXA5	35	2020/11/17	PGRR	
HOXA5	35	2020/11/17	PGRR	
HOXB1	35	2020/11/17	PGRR	
HOXB1	35	2020/11/17	PGRR	
HOXB1	35	2020/11/17	PGRR	
IRX3	35	2020/11/17	PGRR	
IRX3	33.615	2020/11/17	PGRR	
IRX3	32.91	2020/11/17	PGRR	
IRX5	28.065	2020/11/17	PGRR	
IRX5	27.845	2020/11/17	PGRR	
IRX5	27.79	2020/11/17	PGRR	
ISL1	32.485	2020/11/17	PGRR	
ISL1	32.315	2020/11/17	PGRR	
ISL1	31.73	2020/11/17	PGRR	
ISM1	31.21	2020/11/17	PGRR	
ISM1	27.87	2020/11/17	PGRR	
ISM1	28.345	2020/11/17	PGRR	
JAG1	27.15	2020/11/17	PGRR	
JAG1	26.865	2020/11/17	PGRR	
JAG1	26.56	2020/11/17	PGRR	
KDR	24.48	2020/11/17	PGRR	
KDR	24.035	2020/11/17	PGRR	
KDR	23.915	2020/11/17	PGRR	
LEF1	30.695	2020/11/17	PGRR	
LEF1	30.215	2020/11/17	PGRR	
LEF1	30.62	2020/11/17	PGRR	
LHX1	32.075	2020/11/17	PGRR	
LHX1	32.19	2020/11/17	PGRR	
LHX1	30.505	2020/11/17	PGRR	
LHX2	31.43	2020/11/17	PGRR	
LHX2	31.06	2020/11/17	PGRR	
LHX2	31.865	2020/11/17	PGRR	
LMX1A	35	2020/11/17	PGRR	
LMX1A	35	2020/11/17	PGRR	
LMX1A	35	2020/11/17	PGRR	
LMX1A-WPRE	35	2020/11/17	PGRR	
LMX1A-WPRE	35	2020/11/17	PGRR	
LMX1A-WPRE	35	2020/11/17	PGRR	
LMX1B	35	2020/11/17	PGRR	
LMX1B	33.985	2020/11/17	PGRR	
LMX1B	32.465	2020/11/17	PGRR	
LRP4	28.6	2020/11/17	PGRR	
LRP4	27.82	2020/11/17	PGRR	
LRP4	27.81	2020/11/17	PGRR	
MAFB	29.14	2020/11/17	PGRR	
MAFB	29.455	2020/11/17	PGRR	
MAFB	29.345	2020/11/17	PGRR	
MAP2	27.095	2020/11/17	PGRR	
MAP2	25.98	2020/11/17	PGRR	
MAP2	25.735	2020/11/17	PGRR	
MASH1	32.515	2020/11/17	PGRR	
MASH1	32.665	2020/11/17	PGRR	
MASH1	31.7	2020/11/17	PGRR	
MATH1	31.75	2020/11/17	PGRR	
MATH1	31.46	2020/11/17	PGRR	
MATH1	31.56	2020/11/17	PGRR	
MSX1	33.215	2020/11/17	PGRR	
MSX1	32.51	2020/11/17	PGRR	
MSX1	32.44	2020/11/17	PGRR	
MYT1L	32.275	2020/11/17	PGRR	
MYT1L	31.845	2020/11/17	PGRR	
MYT1L	31.86	2020/11/17	PGRR	
NANOG	21.93	2020/11/17	PGRR	
NANOG	20.755	2020/11/17	PGRR	
NANOG	21.79	2020/11/17	PGRR	
NCAM1	27.14	2020/11/17	PGRR	
NCAM1	26.535	2020/11/17	PGRR	
NCAM1	26.6	2020/11/17	PGRR	
NGN2	35	2020/11/17	PGRR	
NGN2	35	2020/11/17	PGRR	
NGN2	35	2020/11/17	PGRR	
NKX2-1	35	2020/11/17	PGRR	
NKX2-1	34.355	2020/11/17	PGRR	
