gene	ct	date	initials	cell_line	note
AADC	31.365	2024/11/13	PTTV	KOLF2.1	
AADC	31.34	2024/11/13	PTTV	KOLF2.1	
AADC	32.155	2024/11/13	PTTV	KOLF2.1	
ACTB_v2	20.35	2024/11/08	PTTV	KOLF2.1	
ACTB_v2	19.865	2024/11/08	PTTV	KOLF2.1	
ACTB_v2	18.055	2024/11/08	PTTV	KOLF2.1	
AIF1.IBA1	28.18	2024/11/14	PTTV	KOLF2.1	
AIF1.IBA1	27.37	2024/11/14	PTTV	KOLF2.1	
AIF1.IBA1	29.33	2024/11/14	PTTV	KOLF2.1	
ALCAM	23.575	2024/11/13	PTTV	KOLF2.1	
ALCAM	22.84	2024/11/13	PTTV	KOLF2.1	
ALCAM	26.025	2024/11/13	PTTV	KOLF2.1	
ALK.1	35	2024/11/08	PTTV	KOLF2.1	
ALK.1	35	2024/11/08	PTTV	KOLF2.1	
ALK.1	34.655	2024/11/08	PTTV	KOLF2.1	
AP.1	26.67	2024/11/08	PTTV	KOLF2.1	
AP.1	26.625	2024/11/08	PTTV	KOLF2.1	
AP.1	25.75	2024/11/08	PTTV	KOLF2.1	
APCDD1	29.075	2024/11/14	PTTV	KOLF2.1	
APCDD1	28.53	2024/11/14	PTTV	KOLF2.1	
APCDD1	30.9	2024/11/14	PTTV	KOLF2.1	
AQP4	29.78	2024/11/08	PTTV	KOLF2.1	
AQP4	29.005	2024/11/08	PTTV	KOLF2.1	
AQP4	30.85	2024/11/08	PTTV	KOLF2.1	
BARHL1	33.52	2024/11/13	PTTV	KOLF2.1	
BARHL1	34.455	2024/11/13	PTTV	KOLF2.1	
BARHL1	35	2024/11/13	PTTV	KOLF2.1	
BARHL2	35	2024/11/13	PTTV	KOLF2.1	
BCL11B.CTIP2	26.725	2024/11/08	PTTV	KOLF2.1	
BCL11B.CTIP2	25.97	2024/11/08	PTTV	KOLF2.1	
BCL11B.CTIP2	29.155	2024/11/08	PTTV	KOLF2.1	
BRN2(A)	35	2024/11/08	PTTV	KOLF2.1	
BRN2(A)	34.805	2024/11/08	PTTV	KOLF2.1	
CALB1	24.69	2024/11/08	PTTV	KOLF2.1	
CALB1	24.64	2024/11/08	PTTV	KOLF2.1	
CALB1	26.455	2024/11/08	PTTV	KOLF2.1	
CALB2	27.675	2024/11/08	PTTV	KOLF2.1	
CALB2	27.32	2024/11/08	PTTV	KOLF2.1	
CALB2	29.385	2024/11/08	PTTV	KOLF2.1	
CCR2	35	2024/11/14	PTTV	KOLF2.1	
CD44	28.22	2024/11/14	PTTV	KOLF2.1	
CD44	26.25	2024/11/14	PTTV	KOLF2.1	
CD44	28.475	2024/11/14	PTTV	KOLF2.1	
CD45	35	2024/11/14	PTTV	KOLF2.1	
CD45	35	2024/11/14	PTTV	KOLF2.1	
CD47	25.53	2024/11/14	PTTV	KOLF2.1	
CD47	25.015	2024/11/14	PTTV	KOLF2.1	
CD47	26.44	2024/11/14	PTTV	KOLF2.1	
CD68	29.21	2024/11/14	PTTV	KOLF2.1	
CD68	28.665	2024/11/14	PTTV	KOLF2.1	
CD68	30.325	2024/11/14	PTTV	KOLF2.1	
CD83	25.315	2024/11/13	PTTV	KOLF2.1	
CD83	25.51	2024/11/13	PTTV	KOLF2.1	
CD83	27.42	2024/11/13	PTTV	KOLF2.1	
CDK6	24.705	2024/11/08	PTTV	KOLF2.1	
CDK6	24.13	2024/11/08	PTTV	KOLF2.1	
CDK6	27.24	2024/11/08	PTTV	KOLF2.1	
CHAT_v8	35	2024/11/08	PTTV	KOLF2.1	
CHRM1_v1	35	2024/11/08	PTTV	KOLF2.1	
CHRM4	33.525	2024/11/08	PTTV	KOLF2.1	
CHRM4	35	2024/11/08	PTTV	KOLF2.1	
CHRM4	32.95	2024/11/08	PTTV	KOLF2.1	
CNTFR	30.025	2024/11/08	PTTV	KOLF2.1	
CNTFR	29.395	2024/11/08	PTTV	KOLF2.1	
CNTFR	31.57	2024/11/08	PTTV	KOLF2.1	
CNTN2	31.595	2024/11/13	PTTV	KOLF2.1	
CNTN2	31.36	2024/11/13	PTTV	KOLF2.1	
CNTN2	35	2024/11/13	PTTV	KOLF2.1	
COL1A1	24.365	2024/11/13	PTTV	KOLF2.1	
COL1A1	23.945	2024/11/13	PTTV	KOLF2.1	
COL1A1	28.145	2024/11/13	PTTV	KOLF2.1	
CORIN	34.32	2024/11/13	PTTV	KOLF2.1	
CORIN	32.3	2024/11/13	PTTV	KOLF2.1	
CORIN	35	2024/11/13	PTTV	KOLF2.1	
CPE	26.165	2024/11/13	PTTV	KOLF2.1	
CPE	24.345	2024/11/13	PTTV	KOLF2.1	
CPE	27.08	2024/11/13	PTTV	KOLF2.1	
CSF1R	35	2024/11/14	PTTV	KOLF2.1	
CSF1R	35	2024/11/14	PTTV	KOLF2.1	
CUX1	32.555	2024/11/08	PTTV	KOLF2.1	
CUX1	28.29	2024/11/08	PTTV	KOLF2.1	
CUX1	26.725	2024/11/08	PTTV	KOLF2.1	
