gene	ct	date	initials	cell_line	note
AADC	31.06	2020/11/18	PGRR	RC17	
AADC	31.215	2020/11/18	PGRR	RC17	
AADC	31.485	2020/11/18	PGRR	RC17	
ACTB	21.825	2020/11/18	PGRR	RC17	
ACTB	21.82	2020/11/18	PGRR	RC17	
ACTB	22.475	2020/11/18	PGRR	RC17	
ALDH1A2	32.62	2020/11/18	PGRR	RC17	
ALDH1A2	30.755	2020/11/18	PGRR	RC17	
ALDH1A2	33.745	2020/11/18	PGRR	RC17	
ARX	31.28	2020/11/18	PGRR	RC17	
ARX	31.46	2020/11/18	PGRR	RC17	
ARX	31.85	2020/11/18	PGRR	RC17	
AXIN2	26.44	2020/11/18	PGRR	RC17	
AXIN2	26.03	2020/11/18	PGRR	RC17	
AXIN2	26.675	2020/11/18	PGRR	RC17	
BARHL1	35	2020/11/18	PGRR	RC17	
BARHL1	34.43	2020/11/18	PGRR	RC17	
BARHL1	35	2020/11/18	PGRR	RC17	
BARHL2	35	2020/11/18	PGRR	RC17	
BARHL2	34.1	2020/11/18	PGRR	RC17	
BARHL2	35	2020/11/18	PGRR	RC17	
BLBP	24.68	2020/11/18	PGRR	RC17	
BLBP	24.85	2020/11/18	PGRR	RC17	
BLBP	24.94	2020/11/18	PGRR	RC17	
BRA	32.56	2020/11/18	PGRR	RC17	
BRA	30.605	2020/11/18	PGRR	RC17	
BRA	32.905	2020/11/18	PGRR	RC17	
BRN2	32.245	2020/11/18	PGRR	RC17	
BRN2	31.86	2020/11/18	PGRR	RC17	
BRN2	32.47	2020/11/18	PGRR	RC17	
BRN3A	27.215	2020/11/18	PGRR	RC17	
BRN3A	26.63	2020/11/18	PGRR	RC17	
BRN3A	27.03	2020/11/18	PGRR	RC17	
CCND1	23.825	2020/11/18	PGRR	RC17	
CCND1	22.835	2020/11/18	PGRR	RC17	
CCND1	24.41	2020/11/18	PGRR	RC17	
CHAT	29.22	2020/11/18	PGRR	RC17	
CHAT	29.37	2020/11/18	PGRR	RC17	
CHAT	29.11	2020/11/18	PGRR	RC17	
CNPY1	35	2020/11/18	PGRR	RC17	
CNPY1	35	2020/11/18	PGRR	RC17	
CNPY1	35	2020/11/18	PGRR	RC17	
COL3A1	35	2020/11/18	PGRR	RC17	
COL3A1	28.56	2020/11/18	PGRR	RC17	
COL3A1	34.615	2020/11/18	PGRR	RC17	
CORIN	32.275	2020/11/18	PGRR	RC17	
CORIN	32.465	2020/11/18	PGRR	RC17	
CORIN	31.695	2020/11/18	PGRR	RC17	
CYP26A1	27.505	2020/11/18	PGRR	RC17	
CYP26A1	27.385	2020/11/18	PGRR	RC17	
CYP26A1	26.985	2020/11/18	PGRR	RC17	
DAT	29.405	2020/11/18	PGRR	RC17	
DAT	29.235	2020/11/18	PGRR	RC17	
DAT	29.27	2020/11/18	PGRR	RC17	
DBX1	31.74	2020/11/18	PGRR	RC17	
DBX1	31.71	2020/11/18	PGRR	RC17	
DBX1	31.635	2020/11/18	PGRR	RC17	
DLK1	29.77	2020/11/18	PGRR	RC17	
DLK1	28.425	2020/11/18	PGRR	RC17	
DLK1	29.56	2020/11/18	PGRR	RC17	
DLX2	29.18	2020/11/18	PGRR	RC17	
DLX2	29.57	2020/11/18	PGRR	RC17	
DLX2	29.66	2020/11/18	PGRR	RC17	
DUSP6	24.705	2020/11/18	PGRR	RC17	
DUSP6	24.78	2020/11/18	PGRR	RC17	
DUSP6	24.18	2020/11/18	PGRR	RC17	
EGR2	28.965	2020/11/18	PGRR	RC17	
EGR2	28.53	2020/11/18	PGRR	RC17	
EGR2	29.575	2020/11/18	PGRR	RC17	
EMX1	31.005	2020/11/18	PGRR	RC17	
EMX1	30.54	2020/11/18	PGRR	RC17	
EMX1	30.92	2020/11/18	PGRR	RC17	
EN1	35	2020/11/18	PGRR	RC17	
EN1	35	2020/11/18	PGRR	RC17	
EN1	35	2020/11/18	PGRR	RC17	
EN2	35	2020/11/18	PGRR	RC17	
EN2	35	2020/11/18	PGRR	RC17	
EN2	35	2020/11/18	PGRR	RC17	
EOMES	33.095	2020/11/18	PGRR	RC17	
EOMES	30.315	2020/11/18	PGRR	RC17	
EOMES	33.61	2020/11/18	PGRR	RC17	
EPHA3	29.77	2020/11/18	PGRR	RC17	
EPHA3	31.35	2020/11/18	PGRR	RC17	
EPHA3	28.02	2020/11/18	PGRR	RC17	
ETV2	30.61	2020/11/18	PGRR	RC17	
ETV2	29.32	2020/11/18	PGRR	RC17	
ETV2	30.52	2020/11/18	PGRR	RC17	
ETV4	24.26	2020/11/18	PGRR	RC17	
ETV4	24.53	2020/11/18	PGRR	RC17	
ETV4	24.6	2020/11/18	PGRR	RC17	
ETV5	27.325	2020/11/18	PGRR	RC17	
ETV5	26.495	2020/11/18	PGRR	RC17	
ETV5	26.62	2020/11/18	PGRR	RC17	
FEZF1	22.565	2020/11/18	PGRR	RC17	
FEZF1	24.565	2020/11/18	PGRR	RC17	
FEZF1	22.6	2020/11/18	PGRR	RC17	
FGF8	28.375	2020/11/18	PGRR	RC17	
FGF8	28.235	2020/11/18	PGRR	RC17	
FGF8	29.63	2020/11/18	PGRR	RC17	
FGFR1	21.655	2020/11/18	PGRR	RC17	
FGFR1	22.94	2020/11/18	PGRR	RC17	
FGFR1	21.795	2020/11/18	PGRR	RC17	
FOXA1	30.93	2020/11/18	PGRR	RC17	
FOXA1	30.825	2020/11/18	PGRR	RC17	
FOXA1	31.305	2020/11/18	PGRR	RC17	
FOXA2	30.765	2020/11/18	PGRR	RC17	
FOXA2	35	2020/11/18	PGRR	RC17	
FOXA2	32.29	2020/11/18	PGRR	RC17	
FOXC1	34.44	2020/11/18	PGRR	RC17	
FOXC1	30.78	2020/11/18	PGRR	RC17	
FOXC1	35	2020/11/18	PGRR	RC17	
FOXD3	29.195	2020/11/18	PGRR	RC17	
FOXD3	29.48	2020/11/18	PGRR	RC17	
FOXD3	29.885	2020/11/18	PGRR	RC17	
FOXG1	30.4	2020/11/18	PGRR	RC17	
FOXG1	30.205	2020/11/18	PGRR	RC17	
FOXG1	30.2	2020/11/18	PGRR	RC17	
FOXP1	25.15	2020/11/18	PGRR	RC17	
FOXP1	25.13	2020/11/18	PGRR	RC17	
FOXP1	25.64	2020/11/18	PGRR	RC17	
FOXP2	32.6	2020/11/18	PGRR	RC17	
FOXP2	34.58	2020/11/18	PGRR	RC17	
FOXP2	31.845	2020/11/18	PGRR	RC17	
FREM1	30.695	2020/11/18	PGRR	RC17	
FREM1	31.8	2020/11/18	PGRR	RC17	
FREM1	30.955	2020/11/18	PGRR	RC17	
GABRA2	29.89	2020/11/18	PGRR	RC17	
GABRA2	30.195	2020/11/18	PGRR	RC17	
GABRA2	28.29	2020/11/18	PGRR	RC17	
GAD67	32.4	2020/11/18	PGRR	RC17	
